year,month,usertype,gender,Ride Count
2017,8,Subscriber,Unknown,25279
2017,8,Subscriber,Male,1129760
2017,8,Subscriber,Female,403400
2017,9,Customer,Unknown,188240
2017,9,Customer,Male,29075
2017,9,Customer,Female,17674
2017,9,Subscriber,Unknown,27202
2017,9,Subscriber,Male,1189449
2017,9,Subscriber,Female,426458
2017,10,Customer,Unknown,167939
2017,10,Customer,Male,23327
2017,10,Customer,Female,13734
2017,10,Subscriber,Unknown,36502
2017,10,Subscriber,Male,1228019
2017,10,Subscriber,Female,428071
2017,11,Customer,Unknown,69863
2017,11,Customer,Male,12725
2017,11,Customer,Female,6708
2017,11,Subscriber,Unknown,25859
2017,11,Subscriber,Male,918002
2017,11,Subscriber,Female,297492
2017,12,Customer,Unknown,27171
2017,12,Customer,Male,4620
2017,12,Customer,Female,2603
2017,12,Subscriber,Unknown,16446
2017,12,Subscriber,Male,646928
2017,12,Subscriber,Female,192199
2018,1,Customer,Unknown,17137
2018,1,Customer,Male,2895
2018,1,Customer,Female,2058
2018,1,Subscriber,Unknown,12458
2018,1,Subscriber,Male,534690
2018,1,Subscriber,Female,149746
